case_key,unit_composite_key,anchor_frame_index,elapsed_time_s,target_ipv_future,pred_human_ipv_point,lo_90,hi_90,support_gate_pass,gate_category_pass,gate_distance_k25_mean,gate_distance_threshold,deviation_signed_exceedance_90,deviation_abs_exceedance_90,deviation_outside_90,deviation_upper_tail_90,deviation_lower_tail_90,abstention_reasons,gate_joint_cell,time_s,ego_x,ego_y,counterpart_x,counterpart_y,distance_m,closing_rate_mps,status,observed_future_ipv
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,36,1.29,0.1672644796936744,0.04393356,-0.7647076343254877,0.8687402700142695,True,True,1.3659239,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.29,1.111223263595598,-15.526008674502805,-4.473634454080642,9.41576244917684,25.55939323443942,2.318933865528432,in_band,0.1672644796936744
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,37,1.4,-0.0052517091634545,0.07063354,-0.335281977529986,0.732767591352923,True,True,1.341968,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.4,1.1611125333249872,-16.1841854962465,-4.421278038852456,8.797199851394453,25.59751351963049,-0.3465693291783202,in_band,-0.0052517091634545
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,38,1.5,0.0343669285092045,0.061059147,-0.6177127455429865,0.6611320470528437,True,True,1.1744612,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.5,1.1950598591340234,-16.642538473285242,-4.367906969411826,8.16664956810115,25.4252317827856,1.7227488937048463,in_band,0.0343669285092045
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,39,1.599,-0.0405305080733128,0.07388014,-0.6287427638726069,0.711259612913592,True,True,1.093971,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.599,1.2396621610515408,-17.22488325275293,-4.313967986509125,7.529389579494392,25.369604476010903,0.5562714010777465,in_band,-0.0405305080733128
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,40,1.699,0.4286595000900808,0.052423675,-0.6034274195389582,0.6611320470528437,True,True,1.1905808,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.699,1.2746816184402026,-17.684392531500492,-4.259831230084729,6.889792916276036,25.189708670252607,1.7988692513972284,in_band,0.4286595000900808
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,41,1.8,0.3583365093650552,0.0931978,-0.5908899401383234,0.9324961398796869,True,True,1.542585,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.8,1.320605825605574,-18.273206705698755,-4.205795787037923,6.251393090226713,25.13955269957157,0.4965916680408275,in_band,0.3583365093650552
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,42,1.9,-0.0075025189438884,0.06003431,-0.6034274195389582,0.6788309310631586,True,True,1.5682019,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.9,1.3561063187115467,-18.73883381973073,-4.152100404831036,5.617010786271237,24.97093325811021,1.6861189564652923,in_band,-0.0075025189438884
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,43,2.0,0.2479543864551728,0.0,,,False,True,2.1815906,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,2.0,1.4017373528676602,-19.33092110922459,-4.152100404831036,5.617010786271237,25.55864667194133,-5.878550976407943,abstain,0.2479543864551728
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,44,2.11,0.4072690800313351,0.07859713,,,False,True,1.9129384,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,2.11,1.4417102526727623,-19.84236459333772,-4.045932705125542,4.362695757074135,24.81933060739861,6.719279358615863,abstain,0.4072690800313351
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,45,2.203,0.0802151066848732,0.0,,,False,True,1.9979606,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,2.203,1.4823642618332906,-20.35702705121409,-4.045932705125542,4.362695757074135,25.33035260460247,-5.1112832640634345,abstain,0.0802151066848732
