case_key,perspective,elapsed_time_s,ego_px_anchor,ego_py_anchor,counterpart_px_anchor,counterpart_py_anchor,ego_local_x_m,ego_local_y_m,counterpart_local_x_m,counterpart_local_y_m,shown,origin_x_m,origin_y_m
ipv_004992,key_agent_1,9.5,-885.8927612304688,1345.572143554688,-916.8872680664062,1385.33154296875,55.14532470703125,-71.40496826171852,24.15081787109375,-31.645568847656477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.6,-886.4287109375,1346.598876953125,-916.892578125,1385.361938476562,54.609375,-70.37823486328148,24.1455078125,-31.615173339844432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.7,-886.8770141601562,1347.37158203125,-916.9782104492188,1385.293334960938,54.16107177734375,-69.60552978515648,24.05987548828125,-31.683776855468523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.8,-887.4423828125,1348.099609375,-917.02392578125,1385.359130859375,53.595703125,-68.87750244140648,24.01416015625,-31.617980957031477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.9,-887.8958129882812,1348.8759765625,-917.1290893554688,1385.521240234375,53.14227294921875,-68.10113525390648,23.90899658203125,-31.455871582031477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,10.0,-888.4876708984375,1349.572875976562,-917.12548828125,1385.506103515625,52.5504150390625,-67.40423583984443,23.91259765625,-31.471008300781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,10.1,-889.0072631835938,1350.321044921875,-917.120849609375,1385.5029296875,52.03082275390625,-66.65606689453148,23.917236328125,-31.474182128906477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,10.2,-889.5601196289062,1351.063354492188,-917.0968017578124,1385.47216796875,51.47796630859375,-65.91375732421852,23.941284179687614,-31.504943847656477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,10.3,-890.0401611328125,1351.79296875,-917.1024169921876,1385.473266601562,50.9979248046875,-65.18414306640648,23.935668945312386,-31.503845214844432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,10.4,-890.5718994140625,1352.516357421875,-917.160400390625,1385.512451171875,50.4661865234375,-64.46075439453148,23.877685546875,-31.464660644531477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,10.5,-891.0509033203125,1353.21630859375,-917.14306640625,1385.4951171875,49.9871826171875,-63.76080322265648,23.89501953125,-31.481994628906477,False,-941.0380859375,1416.9771118164065
