trial_id,subject_id,seat,segment_id,class,scenario_id,pair_id,mean_pre,count_pre,mean_post,count_post,delta_dial_z
P04A_T16,H0027,ego,S803,C,A2,P04,0.2094091696,20,1.05437248,20,0.8449633106
P04A_T16,H0028,cp,S803,C,A2,P04,0.3298226927,20,1.276924152,20,0.9471014594
P04A_T17,H0027,ego,S975,W,C1,P04,0.3500056607,20,1.4573895,20,1.107383839
P04A_T17,H0028,cp,S975,W,C1,P04,0.2567021192,20,1.040208546,20,0.7835064267
P04B_T03,H0027,cp,S852,C,A6,P04,0.3535023734,20,1.220436496,20,0.8669341229
P04B_T03,H0028,ego,S852,C,A6,P04,0.6157554487,20,1.261506444,20,0.6457509951
P04B_T04,H0027,cp,S172,A,B4,P04,0.3608776922,20,0.7389642243,20,0.3780865321
P04B_T04,H0028,ego,S172,A,B4,P04,0.6401727962,20,0.6996445147,20,0.05947171852
P04B_T05,H0027,cp,S912,W,A6,P04,0.4905066784,20,1.144463552,20,0.6539568731
P04B_T05,H0028,ego,S912,W,A6,P04,0.5087756753,20,0.9181696154,20,0.4093939401
P04B_T06,H0027,cp,S311,C,A7,P04,0.4017283661,20,1.123733893,20,0.7220055271
P04B_T06,H0028,ego,S311,C,A7,P04,0.2759682788,20,1.317344842,20,1.041376563
P04B_T07,H0027,cp,S824,C,B1,P04,0.8351655921,20,2.342308421,20,1.507142829
P04B_T07,H0028,ego,S824,C,B1,P04,0.5429217163,20,1.987513184,20,1.444591468
P04B_T08,H0027,cp,S429,W,A7,P04,-0.03637512154,20,0.3087253566,20,0.3451004781
P04B_T08,H0028,ego,S429,W,A7,P04,-0.0873757153,20,0.241690769,20,0.3290664843
P04B_T09,H0027,cp,S673,C,A6,P04,0.4291650296,20,1.482618341,20,1.053453311
P04B_T09,H0028,ego,S673,C,A6,P04,0.3571204027,20,1.396871533,20,1.03975113
P04B_T10,H0027,cp,S141,C,B1,P04,0.306684613,20,1.663707481,20,1.357022868
P04B_T10,H0028,ego,S141,C,B1,P04,0.3053814418,20,1.252100446,20,0.9467190047
P04B_T11,H0027,cp,S823,W,A6,P04,0.3903670335,20,1.193990369,20,0.8036233356
P04B_T11,H0028,ego,S823,W,A6,P04,0.6389895767,20,1.1117993,20,0.4728097236
P04B_T12,H0027,cp,S339,C,A7,P04,0.3854620884,20,1.517143903,20,1.131681815
P04B_T12,H0028,ego,S339,C,A7,P04,0.7089309948,20,1.249865476,20,0.5409344815
P04B_T13,H0027,cp,S706,A,C1,P04,0.4742404007,20,1.878737408,20,1.404497008
P04B_T13,H0028,ego,S706,A,C1,P04,0.6640642683,20,1.790070903,20,1.126006635
P04B_T14,H0027,cp,S414,W,A5,P04,0.6469159486,20,1.39224085,20,0.745324901
P04B_T14,H0028,ego,S414,W,A5,P04,0.3550169014,20,1.499943097,20,1.144926195
P04B_T15,H0027,cp,S282,A,B4,P04,0.4160851761,20,0.5841899358,20,0.1681047597
P04B_T15,H0028,ego,S282,A,B4,P04,0.4707811831,20,0.7777370004,20,0.3069558173
P04B_T16,H0027,cp,S939,A,C1,P04,0.61608998,20,2.37038953,20,1.75429955
P04B_T16,H0028,ego,S939,A,C1,P04,0.3742591576,20,1.641654545,20,1.267395387
P04B_T17,H0027,cp,S123,W,A5,P04,0.2235272962,20,0.4239259277,20,0.2003986316
P04B_T17,H0028,ego,S123,W,A5,P04,0.09235412856,20,0.3858762216,20,0.2935220931
P05A_T03,H0029,ego,S613,C,A4,P05,0.1727962557,20,1.405757519,20,1.232961263
P05A_T03,H0030,cp,S613,C,A4,P05,0.2786754165,20,1.574369794,20,1.295694377
P05A_T04,H0029,ego,S163,A,B2,P05,0.5786497527,20,0.6544259275,20,0.0757761748
P05A_T04,H0030,cp,S163,A,B2,P05,0.04175283886,20,0.8150194132,20,0.7732665743
P05A_T05,H0029,ego,S481,W,A1,P05,0.1352971381,20,0.3569248242,20,0.2216276861
P05A_T05,H0030,cp,S481,W,A1,P05,0.3917289866,20,0.04135594207,20,-0.3503730445
P05A_T06,H0029,ego,S938,C,A4,P05,0.2269967632,20,0.6575376858,20,0.4305409226
P05A_T06,H0030,cp,S938,C,A4,P05,0.7855498265,20,0.9546402621,20,0.1690904356
P05A_T07,H0029,ego,S857,C,A3,P05,0.5372609373,20,0.8787034703,20,0.3414425329
P05A_T07,H0030,cp,S857,C,A3,P05,0.6126516623,20,0.5671325617,20,-0.04551910061
P05A_T08,H0029,ego,S784,W,C4,P05,0.1737322143,20,-0.04043211424,20,-0.2141643285
P05A_T08,H0030,cp,S784,W,C4,P05,0.4946740915,20,-0.1563358685,20,-0.65100996
P05A_T09,H0029,ego,S370,A,B2,P05,0.1679341335,20,0.8217923297,20,0.6538581962
P05A_T09,H0030,cp,S370,A,B2,P05,0.04511405855,20,1.226551772,20,1.181437714
P05A_T10,H0029,ego,S128,C,A3,P05,0.3395062713,20,1.195397801,20,0.8558915297
P05A_T10,H0030,cp,S128,C,A3,P05,0.3702345448,20,1.348969626,20,0.9787350814
P05A_T11,H0029,ego,S250,W,C4,P05,0.02385729682,20,-0.1768146425,20,-0.2006719393
P05A_T11,H0030,cp,S250,W,C4,P05,0.3094101117,20,0.1115818679,20,-0.1978282438
P05A_T12,H0029,ego,S102,A,B3,P05,0.2190471933,20,1.228934289,20,1.009887096
P05A_T12,H0030,cp,S102,A,B3,P05,0.2886970605,20,1.325639537,20,1.036942476
P05A_T13,H0029,ego,S502,C,A5,P05,0.5296517161,20,0.5321678643,20,0.002516148249
P05A_T13,H0030,cp,S502,C,A5,P05,0.3620485485,20,0.5829712243,20,0.2209226758
P05A_T14,H0029,ego,S692,W,A2,P05,0.3410743058,20,0.8778161329,20,0.5367418272
P05A_T14,H0030,cp,S692,W,A2,P05,0.3837166326,20,0.9196265234,20,0.5359098908
P05A_T15,H0029,ego,S888,C,A5,P05,0.2780368912,20,0.7098905868,20,0.4318536956
P05A_T15,H0030,cp,S888,C,A5,P05,0.2711715866,20,0.8475029349,20,0.5763313483
P05A_T16,H0029,ego,S473,A,B3,P05,-0.01068808155,20,1.04558366,20,1.056271742
P05A_T16,H0030,cp,S473,A,B3,P05,0.4225132938,20,1.284585525,20,0.8620722311
P05A_T17,H0029,ego,S766,W,A1,P05,0.4655689452,20,0.2447799752,20,-0.22078897
P05A_T17,H0030,cp,S766,W,A1,P05,0.3330750828,20,0.1770326292,20,-0.1560424536
P05B_T03,H0029,cp,S206,C,A7,P05,0.3708061831,20,1.271903294,20,0.901097111
P05B_T03,H0030,ego,S206,C,A7,P05,0.1339445214,20,0.8394037597,20,0.7054592384
P05B_T04,H0029,cp,S367,A,A1,P05,0.6500864835,20,2.576313443,20,1.92622696
P05B_T04,H0030,ego,S367,A,A1,P05,0.5197530074,20,2.278737566,20,1.758984559
P05B_T05,H0029,cp,S240,W,B3,P05,0.02395453926,20,0.0945525539,20,0.07059801464
P05B_T05,H0030,ego,S240,W,B3,P05,0.3036923173,20,0.1563071749,20,-0.1473851424
P05B_T06,H0029,cp,S222,C,A6,P05,0.3957488701,20,0.8978116106,20,0.5020627404
P05B_T06,H0030,ego,S222,C,A6,P05,0.4284791487,20,0.8367619155,20,0.4082827668
