area,area_dir,team_dir,team_code,session_id,file_role,suffix,bytes,relative_path,mtime
shanghai,上海赛区,深圳技术大学_超车92队,T9,6928-1766201641,replay_log,.log,622285,上海赛区/深圳技术大学_超车92队/6928-1766201641/monitor.log,2026-06-18T17:18:44
shanghai,上海赛区,深圳技术大学_超车92队,T9,6928-1766201641,replay_log,.log,80168194,上海赛区/深圳技术大学_超车92队/6928-1766201641/simulation_trajectory.log,2026-06-18T17:18:44
shanghai,上海赛区,深圳技术大学_超车92队,T9,6928-1766201641,replay_log,.log,68638024,上海赛区/深圳技术大学_超车92队/6928-1766201641/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:45
shanghai,上海赛区,深圳技术大学_超车92队,T9,6928-1766201641,replay_log,.log,68415684,上海赛区/深圳技术大学_超车92队/6928-1766201641/vehicle_perception_trajectory.log,2026-06-18T17:18:45
shanghai,上海赛区,深圳技术大学_超车92队,T9,6928-1766201641,replay_log,.log,5654511,上海赛区/深圳技术大学_超车92队/6928-1766201641/vehicle_trajectory.log,2026-06-18T17:18:44
shanghai,上海赛区,深圳技术大学_超车92队,T9,,diagnosis_pdf,.pdf,4485617,上海赛区/深圳技术大学_超车92队/深圳技术大学_超车92队.pdf,2025-12-24T10:16:09
shanghai,上海赛区,深圳技术大学_超车92队,T9,,replay_zip,.zip,25477578,上海赛区/深圳技术大学_超车92队/深圳技术大学_超车92队_6928-1766201641.zip,2025-12-24T10:15:32
shanghai,上海赛区,深圳技术大学_超车92队,T9,,video,.mp4,1269741105,上海赛区/深圳技术大学_超车92队/超车92_20251220_113439.mp4,2025-12-24T10:16:30
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,6921-1766196941,replay_log,.log,404726,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/monitor.log,2026-06-18T17:18:45
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,6921-1766196941,replay_log,.log,64364371,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/simulation_trajectory.log,2026-06-18T17:18:45
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,6921-1766196941,replay_log,.log,50814452,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:45
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,6921-1766196941,replay_log,.log,3878812,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/vehicle_trajectory.log,2026-06-18T17:18:45
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,,video,.mp4,749460656,上海赛区/清华&贵州大学_thicv2025/thicv_20251220_101548.mp4,2025-12-24T10:10:50
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,,diagnosis_pdf,.pdf,4023858,上海赛区/清华&贵州大学_thicv2025/清华&贵州大学_thicv2025.pdf,2025-12-24T10:16:10
shanghai,上海赛区,清华&贵州大学_thicv2025,T6,,replay_zip,.zip,10209744,上海赛区/清华&贵州大学_thicv2025/清华&贵州大学_thicv2025_6921-1766196941.zip,2025-12-24T10:15:33
shanghai,上海赛区,西华大学_西华明德贰队,T12,6935-1766208365,replay_log,.log,721154,上海赛区/西华大学_西华明德贰队/6935-1766208365/monitor.log,2026-06-18T17:18:46
shanghai,上海赛区,西华大学_西华明德贰队,T12,6935-1766208365,replay_log,.log,68267247,上海赛区/西华大学_西华明德贰队/6935-1766208365/simulation_trajectory.log,2026-06-18T17:18:47
